tradedate,tradecode,tradename,windhy,mv,weight,tradestatus,changepctbefore,changepctafter
2025-06-16 00:00:00,000988.SZ,华工科技,信息技术,457.7048322264,3.2286,剔除,0.9088893815118793,-1.7738550709771705
2025-06-16 00:00:00,300450.SZ,先导智能,工业,352.85653156020004,2.6427,剔除,4.0646651270207945,2.3636363636363455
2025-06-16 00:00:00,300458.SZ,全志科技,信息技术,316.17147684720004,3.5095,剔除,-2.815829528158298,-3.273195876288648
2025-06-16 00:00:00,300229.SZ,拓尔思,信息技术,152.7089389136,2.283,剔除,-5.154639175257724,-2.693208430913341
2025-06-16 00:00:00,002362.SZ,汉王科技,信息技术,53.58445840320001,0.9413,剔除,-3.6483516483516443,-4.114655570966253
2025-06-16 00:00:00,601689.SH,拓普集团,可选消费,806.5294926779999,,纳入,-1.3905057778946461,-2.2629310344827513
2025-06-16 00:00:00,300432.SZ,富临精工,可选消费,211.3263659112,,纳入,-4.9230769230769305,-4.677419354838719
2025-06-16 00:00:00,603662.SH,柯力传感,信息技术,178.008757232,,纳入,0.6690028671551218,-4.6684601993986385
2025-06-16 00:00:00,688165.SH,埃夫特-U,工业,132.688654,,纳入,4.008179959100211,-6.7704280155642005
2025-06-16 00:00:00,300580.SZ,贝斯特,可选消费,118.97927671049999,,纳入,-3.609083536090829,-3.0736842105263285
2025-04-30 00:00:00,688160.SH,步科股份,工业,87.654,,纳入,-3.957662218131619,0.16080402010050232
2025-04-30 00:00:00,300503.SZ,昊志机电,工业,71.9883310272,,纳入,1.2048192771084487,2.4070021881837933
2025-04-30 00:00:00,300466.SZ,赛摩智能,工业,69.9937589756,,纳入,-1.5071590052750605,-2.7932960893854775
2025-04-30 00:00:00,920593.BJ,鼎智科技,工业,67.2174083291,,纳入,1.3379282383944924,10.31169940222032
2025-04-30 00:00:00,002362.SZ,汉王科技,信息技术,50.235429753000005,,纳入,1.7830609212481363,7.5124378109452605
2025-04-30 00:00:00,603015.SH,弘讯科技,工业,48.7892333,,纳入,-0.08278145695364003,8.552074513124474
2025-04-30 00:00:00,002917.SZ,金奥博,材料,46.51077955860001,,纳入,-0.37230081906178825,14.29652042360059
2025-04-30 00:00:00,301199.SZ,迈赫股份,工业,46.282314,,纳入,13.13559322033897,9.575123152709363
2025-04-30 00:00:00,688499.SH,利元亨,材料,45.65793480599999,,纳入,12.656119900083262,15.352523988318723
2025-04-30 00:00:00,688090.SH,瑞松科技,工业,39.2320005035,,纳入,9.403729971105857,8.450338013520554
2025-04-30 00:00:00,688207.SH,格灵深瞳,信息技术,34.3657366069,,纳入,-0.6736526946107713,5.39483971853012
2025-04-30 00:00:00,688218.SH,江苏北人,工业,24.645438455,,纳入,-1.423149905123311,4.4878048780487845
