tradedate,tradecode,tradename,windhy,mv,weight,tradestatus,changepctbefore,changepctafter
2025-09-15 00:00:00,601939.SH,建设银行,金融,23648.6744838936,0.852,剔除,0.4444444444444251,-2.631578947368396
2025-09-15 00:00:00,601318.SH,中国平安,金融,10381.111155733499,1.074,剔除,-0.6412478336221827,-4.472954230235782
2025-09-15 00:00:00,600019.SH,宝钢股份,材料,1526.9241409048996,1.011,剔除,-0.14245014245014564,-1.7069701280227556
2025-09-15 00:00:00,601390.SH,中国中铁,工业,1387.9706003559,0.766,剔除,0.17857142857145014,-0.8928571428571397
2025-09-15 00:00:00,600585.SH,海螺水泥,材料,1260.7040835440998,1.562,剔除,-1.3681592039801016,-2.1410579345088276
2025-09-15 00:00:00,600926.SH,杭州银行,金融,1135.1937990168,0.496,剔除,-0.5082592121982255,-1.9720101781170563
2025-09-15 00:00:00,601077.SH,渝农商行,金融,723.4409,0.412,剔除,-2.7480916030534264,-3.395061728395077
2025-09-15 00:00:00,600350.SH,山东高速,工业,430.276803425,0.666,剔除,-2.732240437158462,-4.918032786885251
2025-09-15 00:00:00,000983.SZ,山西焦煤,能源,410.45440656569997,3.004,剔除,2.8449502133712556,6.906474820143882
2025-09-15 00:00:00,601963.SH,重庆银行,金融,327.3059631432,0.377,剔除,-1.7726798748696648,-5.219206680584554
2025-09-15 00:00:00,600548.SH,深高速,工业,253.5318270873,0.772,剔除,-5.038022813688203,-3.0753968253968367
2025-09-15 00:00:00,600535.SH,天士力,医疗保健,240.07776580350003,0.706,剔除,-2.36938031591738,-3.8153846153846094
2025-09-15 00:00:00,600928.SH,西安银行,金融,186.22222224550003,0.488,剔除,0.23923444976079455,-5.620608899297408
2025-09-15 00:00:00,601187.SH,厦门银行,金融,169.4320104096,0.656,剔除,0.0,-2.150537634408589
2025-09-15 00:00:00,601568.SH,北元集团,材料,157.69722229280003,1.956,剔除,-2.6960784313725394,-1.2468827930174564
2025-09-15 00:00:00,600648.SH,外高桥,工业,151.630212307,0.8,剔除,0.08976660682225024,-2.482269503546086
2025-09-15 00:00:00,000685.SZ,中山公用,公用事业,143.08580104700002,1.064,剔除,-2.5125628140703515,-3.1504065040650286
2025-09-15 00:00:00,600328.SH,中盐化工,材料,115.54519120039998,1.078,剔除,-3.431372549019618,-2.2613065326632986
2025-09-15 00:00:00,002004.SZ,华邦健康,材料,97.01604035900002,1.342,剔除,-1.6064257028112428,-1.4313341961374126
2025-09-15 00:00:00,600284.SH,浦东建设,工业,89.263552,1.142,剔除,1.5452538631346657,3.44827586206895
2025-09-15 00:00:00,600987.SH,航民股份,可选消费,74.62185961629999,0.968,剔除,-2.1419009370816644,-3.0955585464333635
2025-09-15 00:00:00,600035.SH,楚天高速,工业,64.88767081030001,0.799,剔除,-1.707317073170711,-1.2285012285012442
2025-09-15 00:00:00,000900.SZ,现代投资,工业,62.838093027599996,0.769,剔除,-2.1276595744680993,-2.3866348448687402
2025-09-15 00:00:00,002478.SZ,常宝股份,材料,50.6354260136,0.739,剔除,-0.8818342151675651,-2.9982363315696703
2025-09-15 00:00:00,603167.SH,渤海轮渡,工业,46.91445029999999,1.121,剔除,-4.030710172744733,0.29732408325073845
2025-09-15 00:00:00,600519.SH,贵州茅台,日常消费,18973.146027465,,纳入,0.9239090612364276,-3.1682058047493245
2025-09-15 00:00:00,600938.SH,中国海油,能源,12486.118911596799,,纳入,0.4588910133843216,0.3802281368821214
2025-09-15 00:00:00,600900.SH,长江电力,公用事业,6802.1645250480005,,纳入,-1.243339253996445,-2.6136770497672823
2025-09-15 00:00:00,000333.SZ,美的集团,可选消费,5774.2495973688,,纳入,-2.414643645332981,-1.61439724758502
2025-09-15 00:00:00,601916.SH,浙商银行,金融,843.1643240640999,,纳入,-0.6472491909385147,-1.9417475728155553
2025-09-15 00:00:00,001965.SZ,招商公路,工业,684.7618743575999,,纳入,-0.6923837784372,-3.277060575968227
2025-09-15 00:00:00,600377.SH,宁沪高速,工业,650.37320225,,纳入,-2.932330827067675,-3.230769230769248
2025-09-15 00:00:00,600096.SH,云天化,材料,491.1137029314,,纳入,-0.22222222222221255,-3.439557704404983
2025-09-15 00:00:00,002601.SZ,龙佰集团,材料,468.1907368272,,纳入,1.5002586652871353,4.92769148366361
2025-09-15 00:00:00,600642.SH,申能股份,公用事业,388.1004945168,,纳入,-0.5018820577164407,-2.9040404040403978
2025-09-15 00:00:00,601665.SH,齐鲁银行,金融,343.38441289499997,,纳入,-0.5347593582887833,0.17667844522968323
2025-09-15 00:00:00,001286.SZ,陕西能源,公用事业,342.75000000000006,,纳入,-0.6521739130434634,-1.2021857923497414
2025-09-15 00:00:00,601928.SH,凤凰传媒,通讯服务,266.70552,,纳入,-1.9644527595883865,-0.9487666034155517
2025-09-15 00:00:00,600098.SH,广州发展,公用事业,239.13012839760006,,纳入,-3.399433427762044,-3.801169590643272
2025-09-15 00:00:00,601098.SH,中南传媒,通讯服务,228.4512,,纳入,-1.700154559505418,-3.3333333333333215
2025-09-15 00:00:00,002508.SZ,老板电器,可选消费,183.9796069452,,纳入,-1.7114144614149174,0.9743589743589798
2025-09-15 00:00:00,600908.SH,无锡银行,金融,130.36409268300002,,纳入,0.0,-1.5025041736227096
2025-09-15 00:00:00,002003.SZ,伟星股份,可选消费,121.91519080789999,,纳入,-1.7890772128060117,-3.7001897533206707
2025-09-15 00:00:00,600461.SH,洪城环境,公用事业,115.8307970556,,纳入,-1.9565217391304235,-1.436464088397793
2025-09-15 00:00:00,600888.SH,新疆众和,材料,105.278344575,,纳入,0.40160642570281624,3.289473684210531
2025-09-15 00:00:00,000650.SZ,仁和药业,医疗保健,89.3160593292,,纳入,-1.0852713178294504,-0.46801872074883066
2025-09-15 00:00:00,603299.SH,苏盐井神,材料,83.16843269280001,,纳入,-4.144144144144136,-1.3966480446927387
2025-09-15 00:00:00,603368.SH,柳药集团,日常消费,74.270585235,,纳入,2.0742358078602585,7.346723044397452
2025-09-15 00:00:00,000589.SZ,贵州轮胎,可选消费,72.13754194559999,,纳入,1.5317286652078765,-1.2958963282937108
2025-09-15 00:00:00,600479.SH,千金药业,医疗保健,45.4080221945,,纳入,-2.4280575539568305,-3.9233576642335954
2025-06-16 00:00:00,601728.SH,中国电信,通讯服务,7091.8032491725,0.931,剔除,-2.0057624966123733,2.998696219035213
2025-06-16 00:00:00,601225.SH,陕西煤业,能源,1917.671,1.654,剔除,-1.5920398009950154,0.8084891359272373
2025-06-16 00:00:00,002027.SZ,分众传媒,通讯服务,1023.9519605734,1.094,剔除,-2.4759284731774356,-1.54494382022472
2025-06-16 00:00:00,000708.SZ,中信特钢,材料,580.423079265,1.104,剔除,1.232394366197176,-1.1158798283261828
2025-06-16 00:00:00,601665.SH,齐鲁银行,金融,316.69304718999996,0.415,剔除,0.3076585517163277,1.2307692307692353
2025-06-16 00:00:00,600704.SH,物产中大,工业,272.090237796,0.791,剔除,-1.6885553470919246,-3.409090909090917
2025-06-16 00:00:00,601158.SH,重庆水务,公用事业,222.24,1.186,剔除,-3.941908713692943,-1.698513800424628
2025-06-16 00:00:00,000830.SZ,鲁西化工,材料,202.66929705110002,1.36,剔除,0.2835538752362865,-1.1568290536604686
2025-06-16 00:00:00,000581.SZ,威孚高科,可选消费,195.40931342800002,0.926,剔除,-2.2931206380857216,-1.5184503686979878
2025-06-16 00:00:00,002508.SZ,老板电器,可选消费,176.7980711836,0.671,剔除,-1.836306400839438,-2.2508038585209222
2025-06-16 00:00:00,600461.SH,洪城环境,公用事业,121.35264664949999,0.873,剔除,-0.31645569620255554,0.5279831045406302
2025-06-16 00:00:00,600929.SH,雪天盐业,日常消费,82.199653665,0.738,剔除,-2.148437500000011,-1.5873015873015817
2025-06-16 00:00:00,605368.SH,蓝天燃气,公用事业,70.1056781964,1.372,剔除,-1.108870967741915,-1.0030090270812475
2025-06-16 00:00:00,600479.SH,千金药业,医疗保健,44.4772975733,0.873,剔除,-3.2287822878228734,-3.969754253308122
2025-06-16 00:00:00,601390.SH,中国中铁,工业,1363.2295914369,,纳入,-1.2544802867383575,-2.517985611510787
2025-06-16 00:00:00,600018.SH,上港集团,工业,1345.6629121436004,,纳入,0.17331022530329143,0.5163511187607384
2025-06-16 00:00:00,000538.SZ,云南白药,医疗保健,996.8675162961,,纳入,-1.498589562764463,-2.6017699115044257
2025-06-16 00:00:00,600236.SH,桂冠电力,公用事业,502.8957037676,,纳入,-1.2383900928792602,-1.4128728414442682
2025-06-16 00:00:00,000983.SZ,山西焦煤,能源,370.1469890468,,纳入,2.515723270440229,-2.009273570324588
2025-06-16 00:00:00,601000.SH,唐山港,工业,241.18529458980007,,纳入,0.7425742574257432,2.457002457002444
2025-06-16 00:00:00,600535.SH,天士力,医疗保健,236.19349579049998,,纳入,-3.5387431360585753,-3.3063006862133593
2025-06-16 00:00:00,600007.SH,中国国贸,房地产,219.99050542560002,,纳入,0.5062126092959085,0.32243205895898797
2025-06-16 00:00:00,000591.SZ,太阳能,公用事业,170.42420599649998,,纳入,-0.9111617312072884,-0.9216589861751112
2025-06-16 00:00:00,600757.SH,长江传媒,通讯服务,112.14128522520001,,纳入,0.09553125852574951,-0.43290043290045155
2025-06-16 00:00:00,600987.SH,航民股份,可选消费,74.9281052782,,纳入,0.8241758241758212,-4.8714479025710355
2025-06-16 00:00:00,000900.SZ,现代投资,工业,64.9630526952,,纳入,2.8846153846153966,-3.953488372093028
2025-06-16 00:00:00,603167.SH,渤海轮渡,工业,49.166343914399995,,纳入,8.713692946058082,4.716073147256972
2025-06-16 00:00:00,002478.SZ,常宝股份,材料,47.2116783472,,纳入,-0.3802281368821214,-1.7241379310344862
