tradedate,tradecode,tradename,windhy,mv,weight,tradestatus,changepctbefore,changepctafter
2025-06-16 00:00:00,000869.SZ,张裕A,日常消费,143.43440265,0.235,剔除,-8.053402239448737,-0.170307004525605
2025-06-16 00:00:00,600929.SH,雪天盐业,日常消费,82.199653665,0.24,剔除,-2.148437500000011,-1.5873015873015817
2025-06-16 00:00:00,600882.SH,妙可蓝多,日常消费,157.1492642643,,纳入,-4.630205096333118,-5.865384615384606
2025-06-16 00:00:00,600059.SH,古越龙山,日常消费,97.1704212258,,纳入,-2.022058823529427,1.976284584980248
2024-12-16 00:00:00,600882.SH,妙可蓝多,日常消费,105.89269419959999,0.341,剔除,11.783783783783775,-1.7469310670443883
2024-12-16 00:00:00,600059.SH,古越龙山,日常消费,85.7761410633,0.416,剔除,3.7486218302094754,-4.122621564482031
2024-12-16 00:00:00,300973.SZ,立高食品,日常消费,72.81629976,0.191,剔除,13.456464379947253,-10.279569892473116
2024-12-16 00:00:00,600299.SH,安迪苏,医疗保健,301.9820833398,,纳入,0.9865470852017832,-2.543859649122804
2024-12-16 00:00:00,600186.SH,莲花控股,日常消费,100.1371254678,,纳入,-1.7605633802816878,-8.477508650519027
2024-12-16 00:00:00,600199.SH,金种子酒,日常消费,96.038336304,,纳入,2.2408963585434094,-4.858299595141702
2024-06-17 00:00:00,603170.SH,宝立食品,日常消费,50.841271,0.15,剔除,-2.155504234026162,-1.7295597484276781
2024-06-17 00:00:00,600866.SH,星湖科技,日常消费,96.03311720479999,,纳入,-1.8004668858936923,-4.682277301431393
2023-12-11 00:00:00,603235.SH,天新药业,医疗保健,108.394328,0.082,剔除,-4.253673627223497,-3.3508276140492455
2023-12-11 00:00:00,001338.SZ,永顺泰,日常消费,61.31150791480002,0.123,剔除,-2.0048115477145134,-3.1020408163265345
2023-12-11 00:00:00,603156.SH,养元饮品,日常消费,259.80583608,,纳入,-5.478821362799247,-5.835667600373484
2023-12-11 00:00:00,600059.SH,古越龙山,日常消费,86.7788377176,,纳入,-2.4590163934426146,-3.1347962382445305
2023-07-03 00:00:00,603156.SH,养元饮品,日常消费,318.65128848,0.735,剔除,2.2330491270807995,0.08097165991902688
2023-07-03 00:00:00,605339.SH,南侨食品,日常消费,86.1088951392,0.0,剔除,3.33846944016436,0.44294180203392486
2023-07-03 00:00:00,301206.SZ,三元生物,日常消费,68.60864486999999,0.0,剔除,13.146479813146472,-9.145470134324096
2023-07-03 00:00:00,002481.SZ,双塔食品,日常消费,55.39297285,0.0,剔除,5.152224824356,1.5695067264573925
2023-06-12 00:00:00,300765.SZ,新诺威,医疗保健,153.1330737432,,纳入,-5.079825834542795,-7.020164301717724
2023-06-12 00:00:00,001338.SZ,永顺泰,日常消费,103.1558594704,,纳入,16.28959276018098,6.206527554842167
2023-06-12 00:00:00,002053.SZ,云南能投,公用事业,99.8070738976,,纳入,0.8460700578919234,1.0018214936247771
2023-06-12 00:00:00,000848.SZ,承德露露,日常消费,96.4139531784,,纳入,1.1037527593818819,3.2584269662921272
