tradedate,tradecode,tradename,windhy,mv,weight,tradestatus,changepctbefore,changepctafter
2025-06-16 00:00:00,600900.SH,长江电力,公用事业,7453.0191162936,3.387,剔除,1.6010673782521634,-0.7184846505551956
2025-06-16 00:00:00,600760.SH,中航沈飞,工业,1501.5806646337,1.127,剔除,-0.292772186642265,-3.3333333333333326
2025-06-16 00:00:00,600372.SH,中航机载,工业,554.537553798,0.575,剔除,-1.199124252715944,-2.3457862728062495
2025-06-16 00:00:00,600482.SH,中国动力,工业,495.1572669568,0.47,剔除,2.0557469888499824,5.1820728291316565
2025-06-16 00:00:00,002281.SZ,光迅科技,信息技术,360.3399924432,0.727,剔除,0.44984255510571725,-0.684728179612315
2025-06-16 00:00:00,000800.SZ,一汽解放,可选消费,342.52115586,0.194,剔除,-0.9957325746799417,-2.585906984936881
2025-06-16 00:00:00,000423.SZ,东阿阿胶,医疗保健,340.9213306256,0.995,剔除,-3.7804434750999816,-2.951002227171484
2025-06-16 00:00:00,600511.SH,国药股份,医疗保健,224.61554250459994,0.216,剔除,-4.613905799423257,-1.8009135055768066
2025-06-16 00:00:00,600062.SH,华润双鹤,医疗保健,194.1585459618,0.29,剔除,-5.4628224582700895,-4.826154644525172
2025-06-16 00:00:00,600877.SH,电科芯片,信息技术,140.6662676496,0.176,剔除,-2.941176470588225,-0.5867560771165126
2025-06-16 00:00:00,002268.SZ,电科网安,信息技术,135.8157266818,0.316,剔除,-0.3722084367245748,8.14393939393938
2025-06-16 00:00:00,600422.SH,昆药集团,医疗保健,113.3949683986,0.323,剔除,-4.281150159744406,-2.066666666666672
2025-06-16 00:00:00,002401.SZ,中远海科,信息技术,57.274106603999996,0.106,剔除,4.474576271186437,0.540540540540535
2025-06-16 00:00:00,001289.SZ,龙源电力,公用事业,1355.9621818008,,纳入,-2.2891566265060503,-2.4464831804281384
2025-06-16 00:00:00,688008.SH,澜起科技,信息技术,910.5653877442002,,纳入,-5.185361783287645,3.253164556962007
2025-06-16 00:00:00,600027.SH,华电国际,公用事业,597.2895701672,,纳入,0.17152658662094034,-2.9159519725557415
2025-06-16 00:00:00,601872.SH,招商轮船,工业,532.1120872818,,纳入,8.210180623973717,1.0627146302711665
2025-06-16 00:00:00,600061.SH,国投资本,金融,466.12123728029997,,纳入,1.532033426183843,-2.197802197802201
2025-06-16 00:00:00,600968.SH,海油发展,能源,426.934376358,,纳入,2.689486552567244,-0.7125890736342066
2025-06-16 00:00:00,000958.SZ,电投产融,公用事业,373.070903436,,纳入,-2.5316455696202667,-3.328509406657021
2025-06-16 00:00:00,688297.SH,中无人机,工业,332.37,,纳入,5.6879158617729075,-4.695304695304681
2025-06-16 00:00:00,600118.SH,中国卫星,工业,320.0998088445,,纳入,-1.777939042089982,-2.216475803472484
2025-06-16 00:00:00,600171.SH,上海贝岭,信息技术,230.6836427962,,纳入,-3.2123735871504966,-2.638060557791755
2025-06-16 00:00:00,603698.SH,航天工程,工业,90.04632,,纳入,-3.2258064516129004,-3.8461538461538325
2025-06-16 00:00:00,002046.SZ,国机精工,工业,87.6796275225,,纳入,1.1741339183124255,-3.985285101164937
2025-06-16 00:00:00,300797.SZ,钢研纳克,信息技术,53.74284552,,纳入,-0.5665722379603388,-8.595387840670865
2025-06-16 00:00:00,688456.SH,有研粉材,材料,36.64381,,纳入,1.8731988472622252,-3.068299103148575
2025-04-21 00:00:00,600705.SH,中航产融(退市),金融,306.0948892308,0.276,剔除,0.0,0.0
2024-12-16 00:00:00,002230.SZ,科大讯飞,信息技术,1167.425763425,3.579,剔除,-4.138192862566448,1.5303119482048322
2024-12-16 00:00:00,000066.SZ,中国长城,信息技术,501.61175818399994,0.982,剔除,-7.660332541567694,-0.8084577114427671
2024-12-16 00:00:00,600061.SH,国投资本,金融,499.2469176135,0.335,剔除,-1.8939393939394034,-0.8894536213468807
2024-12-16 00:00:00,601117.SH,中国化学,工业,493.6129014096,0.643,剔除,-1.4634146341463317,0.3722084367245637
2024-12-16 00:00:00,600021.SH,上海电力,公用事业,268.43566936850004,0.225,剔除,-0.4179728317659337,-1.904761904761909
2024-12-16 00:00:00,601611.SH,中国核建,工业,257.1850990772,0.199,剔除,-1.951779563719891,-0.11723329425556983
2024-12-16 00:00:00,600562.SH,国睿科技,工业,244.02506556,0.213,剔除,2.5039123630672844,-3.5482258870564776
2024-12-16 00:00:00,000733.SZ,振华科技,信息技术,241.3407872005,0.296,剔除,-2.0688104340004565,-4.066827874258083
2024-12-16 00:00:00,000550.SZ,江铃汽车,可选消费,212.0053584,0.181,剔除,-3.269003544702642,-2.421307506053272
2024-12-16 00:00:00,000028.SZ,国药一致,医疗保健,167.3591186539,0.1,剔除,0.9399127223900683,-0.366300366300365
2024-12-16 00:00:00,600776.SH,东方通信,信息技术,154.8648078912,0.206,剔除,-3.5211267605633756,-2.814698983580921
2024-12-16 00:00:00,600967.SH,内蒙一机,工业,147.20523869550001,0.275,剔除,-1.480637813211838,-3.833145434047336
2024-12-16 00:00:00,002063.SZ,远光软件,信息技术,120.7830864,0.421,剔除,-2.3112480739599373,-2.7906976744186185
2024-12-16 00:00:00,600963.SH,岳阳林纸,材料,90.75964529559998,0.169,剔除,-1.532567049808431,-2.500000000000002
2024-12-16 00:00:00,688586.SH,江航装备,工业,78.8173799376,0.112,剔除,-0.30030030030029353,-2.100000000000002
2024-12-16 00:00:00,600760.SH,中航沈飞,工业,1362.4178392272,,纳入,3.756558237145846,3.0870549495781052
2024-12-16 00:00:00,000768.SZ,中航西飞,工业,729.0940726091001,,纳入,-0.3422053231939115,-1.4226881317858542
2024-12-16 00:00:00,600026.SH,中远海能,工业,574.401477958,,纳入,-3.6919235909634973,-6.984387838948225
2024-12-16 00:00:00,600482.SH,中国动力,工业,560.4523722516001,,纳入,7.423392317652144,-2.169546002410605
2024-12-16 00:00:00,600875.SH,东方电气,工业,470.11891811559997,,纳入,-2.0142949967511314,-1.4473684210526305
2024-12-16 00:00:00,601179.SH,中国西电,工业,393.1551763984,,纳入,-1.7925736235595235,1.5706806282722585
