entry_id,level_index,buy_price,qty,buy_time,buy_date,buy_order_id,buy_trade_id,sell_order_id,sell_status,sell_price,sell_level
1774936262,19,1.199,100,2026-03-31 13:51:01,2026-03-31,1099039763,,1099039792,hanging,1.2,20
1774936265,18,1.198,100,2026-03-31 13:51:05,2026-03-31,1099039761,,1099039820,hanging,1.199,19
1774937381,13,1.193,100,2026-03-31 14:09:40,2026-03-31,1099051074,,1099051088,hanging,1.194,14
1774937481,9,1.189,100,2026-03-31 14:11:20,2026-03-31,1099052005,,1099052026,hanging,1.19,10
1774937486,8,1.188,100,2026-03-31 14:11:26,2026-03-31,1099052004,,1099052062,hanging,1.189,9
1774937642,6,1.186,100,2026-03-31 14:14:01,2026-03-31,1099053170,,1099053186,hanging,1.187,7
1774937862,5,1.185,100,2026-03-31 14:17:42,2026-03-31,1099055314,,1099055345,hanging,1.186,6
1774938019,4,1.184,100,2026-03-31 14:20:18,2026-03-31,1099056376,,1099056629,hanging,1.185,5
1774938028,3,1.183,100,2026-03-31 14:20:28,2026-03-31,1099056296,,1099056736,hanging,1.184,4
1774938074,2,1.182,100,2026-03-31 14:21:13,2026-03-31,1099057131,,1099057185,hanging,1.183,3
1774938084,1,1.181,100,2026-03-31 14:21:23,2026-03-31,1099054993,,1099057223,hanging,1.182,2
1774938092,0,1.18,100,2026-03-31 14:21:32,2026-03-31,1099054990,,1099057273,hanging,1.181,1
1774938198,-3,1.177,100,2026-03-31 14:23:17,2026-03-31,1099062888,,1099063157,hanging,1.178,-2
1774938203,-4,1.176,100,2026-03-31 14:23:23,2026-03-31,1099057304,,1099063202,hanging,1.177,-3
1774938369,-6,1.174,100,2026-03-31 14:26:09,2026-03-31,1099064303,,1099064322,hanging,1.175,-5
1774938370,-7,1.173,100,2026-03-31 14:26:10,2026-03-31,1099064285,,1099064323,hanging,1.174,-6
1774938390,-9,1.171,100,2026-03-31 14:26:30,2026-03-31,1099064362,,1099064523,hanging,1.172,-8
1774938391,-10,1.17,100,2026-03-31 14:26:30,2026-03-31,1099064169,,1099064524,hanging,1.171,-9
1774939128,-12,1.168,100,2026-03-31 14:38:48,2026-03-31,1099070347,,1099070385,hanging,1.169,-11
1774939389,-15,1.165,100,2026-03-31 14:43:08,2026-03-31,1099072282,,1099072377,hanging,1.166,-14
1774939395,-16,1.164,100,2026-03-31 14:43:14,2026-03-31,1099072260,,1099072408,hanging,1.165,-15
1774939402,-17,1.163,100,2026-03-31 14:43:22,2026-03-31,1099072259,,1099072432,hanging,1.164,-16
1774939428,-18,1.162,100,2026-03-31 14:43:47,2026-03-31,1099072604,,1099072617,hanging,1.163,-17
1774939445,-19,1.161,100,2026-03-31 14:44:04,2026-03-31,1099072603,,1099072722,hanging,1.162,-18
1774939449,-20,1.16,100,2026-03-31 14:44:09,2026-03-31,1099072591,,1099072769,hanging,1.161,-19
1774939464,-21,1.159,100,2026-03-31 14:44:23,2026-03-31,1099072590,,1099072869,hanging,1.16,-20
1774939465,-22,1.158,100,2026-03-31 14:44:24,2026-03-31,1099070919,,1099072870,hanging,1.159,-21
1774939468,-23,1.157,100,2026-03-31 14:44:27,2026-03-31,1099070917,,1099072882,hanging,1.158,-22
1774939470,-25,1.155,100,2026-03-31 14:44:29,2026-03-31,1099069324,,1099072913,hanging,1.156,-24
1774939472,-27,1.153,100,2026-03-31 14:44:32,2026-03-31,1099069346,,1099072922,hanging,1.154,-26
