level_idx,level_px,qty,avg_cost,unrealized_pnl
-27,1.153000,100,1.153000,0.000000
-25,1.155000,100,1.155000,0.000000
-23,1.157000,100,1.157000,0.000000
-22,1.158000,100,1.158000,0.000000
-21,1.159000,100,1.159000,0.000000
-20,1.160000,100,1.160000,0.000000
-19,1.161000,100,1.161000,0.000000
-18,1.162000,100,1.162000,0.000000
-17,1.163000,100,1.163000,0.000000
-16,1.164000,100,1.164000,0.000000
-15,1.165000,100,1.165000,0.000000
-12,1.168000,100,1.168000,0.000000
-10,1.170000,100,1.170000,0.000000
-9,1.171000,100,1.171000,0.000000
-7,1.173000,100,1.173000,0.000000
-6,1.174000,100,1.174000,0.000000
-4,1.176000,100,1.176000,0.000000
-3,1.177000,100,1.177000,0.000000
0,1.180000,100,1.180000,0.000000
1,1.181000,100,1.181000,0.000000
2,1.182000,100,1.182000,0.000000
3,1.183000,100,1.183000,0.000000
4,1.184000,100,1.184000,0.000000
5,1.185000,100,1.185000,0.000000
6,1.186000,100,1.186000,0.000000
8,1.188000,100,1.188000,0.000000
9,1.189000,100,1.189000,0.000000
13,1.193000,100,1.193000,0.000000
18,1.198000,100,1.198000,0.000000
19,1.199000,100,1.199000,0.000000
