level_idx,level_px,qty,avg_cost,unrealized_pnl
-31,1.848000,0,0.000000,0.000000
-30,1.849000,100,1.849000,0.000000
-29,1.850000,100,1.850000,0.000000
-28,1.851000,100,1.850000,0.100000
-27,1.852000,100,1.852000,0.000000
-26,1.853000,100,1.852000,0.100000
-25,1.854000,100,1.854000,0.000000
-24,1.855000,100,1.855000,0.000000
-23,1.856000,100,1.856000,0.000000
-22,1.857000,100,1.855000,0.200000
-21,1.858000,100,1.858000,0.000000
-20,1.859000,100,1.858000,0.100000
-19,1.860000,100,1.859000,0.100000
-18,1.861000,100,1.861000,0.000000
-17,1.862000,100,1.862000,0.000000
-16,1.863000,100,1.862000,0.100000
-15,1.864000,100,1.863000,0.100000
-14,1.865000,100,1.864000,0.100000
-13,1.866000,100,1.866000,0.000000
-12,1.867000,100,1.866000,0.100000
-11,1.868000,100,1.867000,0.100000
-10,1.869000,100,1.869000,0.000000
-9,1.870000,100,1.870000,0.000000
-8,1.871000,100,1.870000,0.100000
-7,1.872000,100,1.872000,0.000000
-6,1.873000,100,1.873000,0.000000
-5,1.874000,100,1.873000,0.100000
-4,1.875000,100,1.875000,0.000000
-3,1.876000,100,1.875000,0.100000
-2,1.877000,100,1.876000,0.100000
-1,1.878000,100,1.877000,0.100000
0,1.879000,100,1.878000,0.100000
1,1.880000,100,1.879000,0.100000
2,1.881000,100,1.881000,0.000000
3,1.882000,100,1.881000,0.100000
4,1.883000,100,1.883000,0.000000
5,1.884000,100,1.883000,0.100000
