trade_id,order_id,ts,side,price,qty,level_idx
1,485992791,2026-03-04 09:30:14,BUY,1.879000,100,0
2,485992791,2026-03-04 09:30:14,BUY,1.879000,100,1
3,485992791,2026-03-04 09:30:17,SELL,1.879000,100,0
4,485993788,2026-03-04 09:30:20,BUY,1.879000,100,0
5,485993788,2026-03-04 09:30:23,SELL,1.879000,100,0
6,485994785,2026-03-04 09:30:26,BUY,1.879000,100,0
7,485995292,2026-03-04 09:30:29,BUY,1.877000,100,-2
8,485995292,2026-03-04 09:30:29,BUY,1.877000,100,-1
9,485996287,2026-03-04 09:30:32,SELL,1.879000,100,0
10,485997284,2026-03-04 09:30:32,SELL,1.879000,100,-1
11,485997284,2026-03-04 09:30:32,SELL,1.879000,100,-2
12,485997284,2026-03-04 09:30:35,BUY,1.879000,100,0
13,485997284,2026-03-04 09:30:38,SELL,1.879000,100,0
14,485999279,2026-03-04 09:30:41,BUY,1.877000,100,-1
15,485999279,2026-03-04 09:30:41,BUY,1.877000,100,-2
16,485999279,2026-03-04 09:30:41,BUY,1.877000,100,0
17,486000276,2026-03-04 09:30:44,BUY,1.875000,100,-4
18,486001273,2026-03-04 09:30:44,BUY,1.875000,100,-3
19,486002271,2026-03-04 09:30:47,SELL,1.878000,100,-4
20,486003269,2026-03-04 09:30:47,SELL,1.878000,100,-3
21,486003269,2026-03-04 09:30:47,SELL,1.878000,100,-2
22,486003269,2026-03-04 09:30:47,SELL,1.878000,100,-1
23,486003269,2026-03-04 09:30:50,SELL,1.879000,100,0
24,486004265,2026-03-04 09:30:53,BUY,1.879000,100,0
25,486004792,2026-03-04 09:30:59,SELL,1.879000,100,0
26,486005768,2026-03-04 09:31:02,BUY,1.879000,100,0
27,486005768,2026-03-04 09:31:05,SELL,1.880000,100,1
28,486006765,2026-03-04 09:31:05,SELL,1.880000,100,0
29,486008759,2026-03-04 09:31:08,BUY,1.875000,100,-1
30,486008759,2026-03-04 09:31:08,BUY,1.875000,100,-2
31,486008759,2026-03-04 09:31:08,BUY,1.875000,100,0
32,486008759,2026-03-04 09:31:08,BUY,1.875000,100,1
33,486009757,2026-03-04 09:31:08,BUY,1.875000,100,-4
34,486009757,2026-03-04 09:31:08,BUY,1.875000,100,-3
35,486009757,2026-03-04 09:31:11,SELL,1.875000,100,-4
36,486010754,2026-03-04 09:31:14,BUY,1.875000,100,-4
37,486010754,2026-03-04 09:31:17,SELL,1.875000,100,-4
38,486011752,2026-03-04 09:31:20,BUY,1.874000,100,-5
39,486011752,2026-03-04 09:31:20,BUY,1.874000,100,-4
40,486012749,2026-03-04 09:31:23,SELL,1.878000,500,-1
41,486012749,2026-03-04 09:31:23,SELL,1.878000,100,-4
42,486013746,2026-03-04 09:31:23,SELL,1.878000,100,-3
43,486013746,2026-03-04 09:31:23,SELL,1.878000,100,-5
44,486013746,2026-03-04 09:31:23,SELL,1.878000,400,-2
45,486017735,2026-03-04 09:31:29,BUY,1.873000,100,-5
46,486017735,2026-03-04 09:31:29,BUY,1.873000,100,-4
47,486017735,2026-03-04 09:31:29,BUY,1.873000,100,-3
48,486017735,2026-03-04 09:31:29,BUY,1.873000,100,-1
49,486018733,2026-03-04 09:31:29,BUY,1.873000,100,-2
50,486018733,2026-03-04 09:31:29,BUY,1.873000,100,-6
51,486019731,2026-03-04 09:31:32,SELL,1.875000,300,-4
52,486019731,2026-03-04 09:31:32,SELL,1.875000,100,-5
53,486019731,2026-03-04 09:31:32,SELL,1.875000,100,-6
54,486021725,2026-03-04 09:31:35,BUY,1.872000,100,-7
55,486021725,2026-03-04 09:31:35,BUY,1.872000,100,-6
56,486021725,2026-03-04 09:31:35,BUY,1.872000,100,-5
57,486021725,2026-03-04 09:31:35,BUY,1.872000,100,-4
58,486023247,2026-03-04 09:31:38,SELL,1.875000,400,-4
59,486023247,2026-03-04 09:31:38,SELL,1.875000,300,-5
60,486023247,2026-03-04 09:31:38,SELL,1.875000,100,-7
61,486023247,2026-03-04 09:31:38,SELL,1.875000,100,-6
62,486025221,2026-03-04 09:31:41,BUY,1.872000,100,-7
63,486025221,2026-03-04 09:31:41,BUY,1.872000,100,-6
64,486025221,2026-03-04 09:31:41,BUY,1.872000,100,-5
65,486025221,2026-03-04 09:31:41,BUY,1.872000,100,-4
66,486026218,2026-03-04 09:31:44,SELL,1.874000,100,-6
67,486026218,2026-03-04 09:31:44,SELL,1.874000,100,-7
68,486026218,2026-03-04 09:31:44,SELL,1.874000,300,-5
69,486027216,2026-03-04 09:31:47,BUY,1.873000,100,-6
70,486028214,2026-03-04 09:31:47,BUY,1.873000,100,-5
71,486028724,2026-03-04 09:31:50,BUY,1.872000,100,-7
72,486028724,2026-03-04 09:31:53,SELL,1.872000,100,-7
73,486029716,2026-03-04 09:31:56,BUY,1.872000,100,-7
74,486029716,2026-03-04 09:31:59,SELL,1.872000,100,-7
75,486029716,2026-03-04 09:32:02,BUY,1.872000,100,-7
76,486031711,2026-03-04 09:32:05,BUY,1.871000,100,-8
77,486031711,2026-03-04 09:32:08,SELL,1.871000,100,-8
78,486032708,2026-03-04 09:32:11,BUY,1.870000,100,-8
79,486032708,2026-03-04 09:32:11,BUY,1.870000,100,-9
80,486033706,2026-03-04 09:32:14,SELL,1.870000,100,-9
81,486033706,2026-03-04 09:32:17,BUY,1.870000,100,-9
82,486033706,2026-03-04 09:32:20,SELL,1.870000,100,-9
83,486034703,2026-03-04 09:32:23,BUY,1.870000,100,-9
84,486035227,2026-03-04 09:32:26,BUY,1.869000,100,-10
85,486037202,2026-03-04 09:32:29,BUY,1.868000,100,-11
86,486037202,2026-03-04 09:32:32,SELL,1.868000,100,-11
87,486038702,2026-03-04 09:32:35,BUY,1.867000,100,-12
88,486038721,2026-03-04 09:32:35,BUY,1.867000,100,-11
89,486038721,2026-03-04 09:32:38,SELL,1.867000,100,-12
90,486039701,2026-03-04 09:32:41,BUY,1.866000,100,-12
91,486040698,2026-03-04 09:32:41,BUY,1.866000,100,-13
92,486040698,2026-03-04 09:32:44,SELL,1.866000,100,-13
93,486040698,2026-03-04 09:32:47,BUY,1.866000,100,-13
94,486041696,2026-03-04 09:32:50,BUY,1.865000,100,-14
95,486042693,2026-03-04 09:32:53,BUY,1.864000,100,-15
96,486043690,2026-03-04 09:32:56,SELL,1.864000,100,-15
97,486043690,2026-03-04 09:32:59,BUY,1.864000,100,-15
98,486044688,2026-03-04 09:33:02,SELL,1.864000,100,-15
99,486046084,2026-03-04 09:33:05,BUY,1.863000,100,-15
100,486046592,2026-03-04 09:33:05,BUY,1.863000,100,-16
101,486046592,2026-03-04 09:33:08,SELL,1.863000,100,-16
102,486046592,2026-03-04 09:33:11,BUY,1.863000,100,-16
103,486047586,2026-03-04 09:33:14,SELL,1.863000,100,-16
104,486047586,2026-03-04 09:33:17,BUY,1.863000,100,-16
105,486048583,2026-03-04 09:33:20,BUY,1.862000,100,-17
106,486051575,2026-03-04 09:33:23,SELL,1.864000,100,-17
107,486051575,2026-03-04 09:33:23,SELL,1.864000,100,-15
108,486051575,2026-03-04 09:33:23,SELL,1.864000,100,-16
109,486053121,2026-03-04 09:33:26,BUY,1.863000,100,-16
110,486053121,2026-03-04 09:33:26,BUY,1.863000,100,-15
111,486054079,2026-03-04 09:33:29,SELL,1.863000,100,-16
112,486054079,2026-03-04 09:33:32,BUY,1.863000,100,-16
113,486056073,2026-03-04 09:33:35,BUY,1.862000,100,-17
114,486056073,2026-03-04 09:33:38,SELL,1.862000,100,-17
115,486056073,2026-03-04 09:33:41,BUY,1.862000,100,-17
116,486057070,2026-03-04 09:33:44,SELL,1.862000,100,-17
117,486057070,2026-03-04 09:33:47,BUY,1.862000,100,-17
118,486058068,2026-03-04 09:33:50,SELL,1.862000,100,-17
119,486058577,2026-03-04 09:33:53,BUY,1.861000,100,-18
120,486058577,2026-03-04 09:33:53,BUY,1.861000,100,-17
121,486060567,2026-03-04 09:33:56,SELL,1.862000,100,-17
122,486060567,2026-03-04 09:33:56,SELL,1.862000,100,-18
123,486062068,2026-03-04 09:33:59,BUY,1.861000,100,-18
124,486062068,2026-03-04 09:33:59,BUY,1.861000,100,-17
125,486063066,2026-03-04 09:34:02,BUY,1.860000,100,-19
126,486065060,2026-03-04 09:34:05,SELL,1.861000,100,-19
127,486065060,2026-03-04 09:34:05,SELL,1.861000,100,-18
128,486066057,2026-03-04 09:34:08,SELL,1.862000,100,-17
129,486068052,2026-03-04 09:34:11,BUY,1.861000,100,-18
130,486068052,2026-03-04 09:34:11,BUY,1.861000,100,-17
