entry_id,level_index,buy_price,qty,buy_time,buy_date,buy_order_id,buy_trade_id,sell_order_id,sell_status,sell_price,sell_level,sell_local_id,insufficient_available_count
1775698302798296_7,-64,0.942,100,2026-04-09 09:31:42,2026-04-09,1082183115,1082183115,1082166144,hanging,0.943,-63,1775698302798296_7,0
1775716897368432_105,-72,0.934,100,2026-04-09 14:41:37,2026-04-09,1082301018,,1082166151,hanging,0.935,-71,1775716897368432_105,0
1775717170489165_107,-70,0.936,100,2026-04-09 14:46:10,2026-04-09,1082302899,,1082166149,hanging,0.937,-69,1775717170489165_107,0
1775717173348718_108,-71,0.935,100,2026-04-09 14:46:13,2026-04-09,1082302954,,1082166150,hanging,0.936,-70,1775717173348718_108,0
1775717437548508_119,-69,0.937,100,2026-04-09 14:50:37,2026-04-09,1082305978,,1082166148,hanging,0.938,-68,1775717437548508_119,0
1775717548536270_123,-65,0.941,100,2026-04-09 14:52:28,2026-04-09,1082307538,1082307538,1082166145,hanging,0.942,-64,1775717548536270_123,0
1775717638467095_125,-68,0.938,100,2026-04-09 14:53:58,2026-04-09,1082308497,,1082166147,hanging,0.939,-67,1775717638467095_125,0
1775717683409400_126,-67,0.939,100,2026-04-09 14:54:43,2026-04-09,1082309042,,1082166146,hanging,0.94,-66,1775717683409400_126,0
1776057705270592_61,-76,0.93,100,2026-04-13 13:21:45,2026-04-13,1082225761,1082225761,1082166155,hanging,0.931,-75,1776057705270592_61,0
1776058110363884_63,-73,0.933,100,2026-04-13 13:28:30,2026-04-13,1082226867,1082226867,1082166152,hanging,0.934,-72,1776058110363884_63,0
1776058113384483_64,-74,0.932,100,2026-04-13 13:28:33,2026-04-13,1082226870,1082226870,1082166153,hanging,0.933,-73,1776058113384483_64,0
1776058281406910_65,-75,0.931,100,2026-04-13 13:31:21,2026-04-13,1082227137,1082227137,1082166154,hanging,0.932,-74,1776058281406910_65,0
1776058872499177_67,-77,0.929,100,2026-04-13 13:41:12,2026-04-13,1082228574,1082228574,1082166156,hanging,0.93,-76,1776058872499177_67,0
1776059220466951_68,-79,0.927,100,2026-04-13 13:47:00,2026-04-13,1082229383,1082229383,1082166158,hanging,0.928,-78,1776059220466951_68,0
1776059694463292_69,-78,0.928,100,2026-04-13 13:54:54,2026-04-13,1082230293,1082230293,1082166157,hanging,0.929,-77,1776059694463292_69,0
1776061869550973_74,-80,0.926,100,2026-04-13 14:31:09,2026-04-13,1082237171,1082237171,1082166159,hanging,0.927,-79,1776061869550973_74,0
1776063072695524_76,-82,0.924,100,2026-04-13 14:51:12,2026-04-13,1082242763,1082242763,1082166161,hanging,0.925,-81,1776063072695524_76,0
1776063267690939_77,-81,0.925,100,2026-04-13 14:54:27,2026-04-13,1082244522,1082244522,1082166160,hanging,0.926,-80,1776063267690939_77,0
1776216864991383_2,-144,0.862,100,2026-04-15 09:34:24,2026-04-15,1098943911,1098943911,,error,,-143,,20
1776837317313773_11,-143,0.863,100,2026-04-22 13:55:17,2026-04-22,1082240715,1082240715,,error,0.864,-142,1776837317313773_11,20
1776838838447271_15,-145,0.861,100,2026-04-22 14:20:38,2026-04-22,1082246272,1082246272,,error,0.862,-144,1776838838447271_15,20
1776993901776149_7,-104,0.902,100,2026-04-24 09:25:01,2026-04-24,1098978514,1098978514,1082166174,hanging,0.903,-103,1776993901776149_7,0
1776994228169121_12,-101,0.905,100,2026-04-24 09:30:28,2026-04-24,1098982437,1098982437,1082166170,hanging,0.906,-100,1776994228169121_12,0
1776994554971511_26,-93,0.913,100,2026-04-24 09:35:54,2026-04-24,1098989559,1098989559,1082166162,hanging,0.914,-92,1776994554971511_26,0
1776994561102563_27,-94,0.912,100,2026-04-24 09:36:01,2026-04-24,1098989724,1098989724,1082166163,hanging,0.913,-93,1776994561102563_27,0
1776996434174234_32,-96,0.91,100,2026-04-24 10:07:14,2026-04-24,1099013835,1099013835,1082166165,hanging,0.911,-95,1776996434174234_32,0
1776996435567875_33,-99,0.907,100,2026-04-24 10:07:15,2026-04-24,1099013874,1099013874,1082166169,hanging,0.908,-98,1776996435567875_33,0
1776996435592914_34,-98,0.908,100,2026-04-24 10:07:15,2026-04-24,1099013875,1099013875,1082166167,hanging,0.909,-97,1776996435592914_34,0
1776996863994035_35,-97,0.909,100,2026-04-24 10:14:23,2026-04-24,1099025043,1099025043,1082166166,hanging,0.91,-96,1776996863994035_35,0
1776996977683770_36,-95,0.911,100,2026-04-24 10:16:17,2026-04-24,1099028030,1099028030,1082166164,hanging,0.912,-94,1776996977683770_36,0
1776998176175177_40,-102,0.904,100,2026-04-24 10:36:16,2026-04-24,1099054140,1099054140,1082166171,hanging,0.905,-101,1776998176175177_40,0
1776998371107283_41,-103,0.903,100,2026-04-24 10:39:31,2026-04-24,1099054830,1099054830,1082166172,hanging,0.904,-102,1776998371107283_41,0
1776999736235650_47,-107,0.899,100,2026-04-24 11:02:16,2026-04-24,1099059143,1099059143,1082166177,hanging,0.9,-106,1776999736235650_47,0
1776999874223769_49,-105,0.901,100,2026-04-24 11:04:34,2026-04-24,1099059523,1099059523,1082166175,hanging,0.902,-104,1776999874223769_49,0
1777000342215186_50,-106,0.9,100,2026-04-24 11:12:22,2026-04-24,1099061130,1099061130,1082166176,hanging,0.901,-105,1777000342215186_50,0
1777006912607111_52,-108,0.898,100,2026-04-24 13:01:52,2026-04-24,1099067442,1099067442,1082166178,hanging,0.899,-107,1777006912607111_52,0
