entry_id,level_index,buy_price,qty,buy_time,buy_date,buy_order_id,buy_trade_id,sell_order_id,sell_status,sell_price,sell_level,sell_local_id
1775020556783591_1,-46,1.03,100,2026-04-01 13:15:56,2026-04-01,1099016050,,1099017262,hanging,1.031,-45,1775020556783591_1
1775020556840592_3,-44,1.032,100,2026-04-01 13:15:56,2026-04-01,1099016052,,1099016983,hanging,1.033,-43,1775020556840592_3
1775020574038295_6,-47,1.029,100,2026-04-01 13:16:14,2026-04-01,1099016114,,1099017275,hanging,1.03,-46,1775020574038295_6
1775020580018478_7,-43,1.033,100,2026-04-01 13:16:20,2026-04-01,1099016134,,1099016876,hanging,1.034,-42,1775020580018478_7
1775020595099480_11,-39,1.037,100,2026-04-01 13:16:35,2026-04-01,1099016197,,1099016209,hanging,1.038,-38,1775020595099480_11
1775020676085687_15,-40,1.036,100,2026-04-01 13:17:56,2026-04-01,1099016453,,1099016504,hanging,1.037,-39,1775020676085687_15
1775020823019073_18,-48,1.028,100,2026-04-01 13:20:23,2026-04-01,1099016997,,1099017313,hanging,1.029,-47,1775020823019073_18
1775020973084240_31,-50,1.026,100,2026-04-01 13:22:53,2026-04-01,1099017601,,1099017642,hanging,1.027,-49,1775020973084240_31
1775021276091723_61,-55,1.021,100,2026-04-01 13:27:56,2026-04-01,1099018781,,1099019280,hanging,1.022,-54,1775021276091723_61
1775021276123666_62,-54,1.022,100,2026-04-01 13:27:56,2026-04-01,1099018782,,1099019206,hanging,1.023,-53,1775021276123666_62
1775021303083831_66,-52,1.024,100,2026-04-01 13:28:23,2026-04-01,1099018906,,1099018993,hanging,1.025,-51,1775021303083831_66
1775021339218188_68,-53,1.023,100,2026-04-01 13:28:59,2026-04-01,1099019060,,1099019132,hanging,1.024,-52,1775021339218188_68
1775021384136675_69,-57,1.019,100,2026-04-01 13:29:44,2026-04-01,1099019364,,1099019886,hanging,1.02,-56,1775021384136675_69
1775021606172089_88,-77,0.999,100,2026-04-01 13:33:26,2026-04-01,1099020720,,1099033808,hanging,1.0,-76,1775021606172089_88
1775021606203621_89,-76,1.0,100,2026-04-01 13:33:26,2026-04-01,1099020722,,1099033748,hanging,1.001,-75,1775021606203621_89
1775021618133919_93,-79,0.997,100,2026-04-01 13:33:38,2026-04-01,1099020766,,1099033875,hanging,0.998,-78,1775021618133919_93
1775021858144034_124,-61,1.015,100,2026-04-01 13:37:38,2026-04-01,1099021746,,1099021938,hanging,1.016,-60,1775021858144034_124
1775021873128797_127,-58,1.018,100,2026-04-01 13:37:53,2026-04-01,1099021805,,1099021822,hanging,1.019,-57,1775021873128797_127
1775021885135664_128,-60,1.016,100,2026-04-01 13:38:05,2026-04-01,1099021859,,1099021906,hanging,1.017,-59,1775021885135664_128
1775022674190035_174,-74,1.002,100,2026-04-01 13:51:14,2026-04-01,1099025219,,1099033278,hanging,1.003,-73,1775022674190035_174
1775022827161812_182,-73,1.003,100,2026-04-01 13:53:47,2026-04-01,1099025819,,1099033208,hanging,1.004,-72,1775022827161812_182
1775023436233040_209,-72,1.004,100,2026-04-01 14:03:56,2026-04-01,1099028448,,1099033123,hanging,1.005,-71,1775023436233040_209
1775023655301604_225,-63,1.013,100,2026-04-01 14:07:35,2026-04-01,1099029407,,1099029529,hanging,1.014,-62,1775023655301604_225
1775023655336579_226,-62,1.014,100,2026-04-01 14:07:35,2026-04-01,1099029409,,1099029462,hanging,1.015,-61,1775023655336579_226
1775023955286720_230,-66,1.01,100,2026-04-01 14:12:35,2026-04-01,1099030796,,1099031019,hanging,1.011,-65,1775023955286720_230
1775023958284143_231,-67,1.009,100,2026-04-01 14:12:38,2026-04-01,1099030805,,1099031280,hanging,1.01,-66,1775023958284143_231
1775023964235507_232,-65,1.011,100,2026-04-01 14:12:44,2026-04-01,1099030850,,1099030862,hanging,1.012,-64,1775023964235507_232
1775024216258069_236,-70,1.006,100,2026-04-01 14:16:56,2026-04-01,1099032173,,1099032808,hanging,1.007,-69,1775024216258069_236
1775024255247923_238,-68,1.008,100,2026-04-01 14:17:35,2026-04-01,1099032356,,1099032495,hanging,1.009,-67,1775024255247923_238
1775024321264108_239,-69,1.007,100,2026-04-01 14:18:41,2026-04-01,1099032627,,1099032748,hanging,1.008,-68,1775024321264108_239
1775024486319550_240,-75,1.001,100,2026-04-01 14:21:26,2026-04-01,1099033465,,1099033687,hanging,1.002,-74,1775024486319550_240
1775024528228933_241,-80,0.996,100,2026-04-01 14:22:08,2026-04-01,1099033729,,1099033910,hanging,0.997,-79,1775024528228933_241
1775024588359881_248,-82,0.994,100,2026-04-01 14:23:08,2026-04-01,1099034005,,1099034082,hanging,0.995,-81,1775024588359881_248
1775024669279560_259,-85,0.991,100,2026-04-01 14:24:29,2026-04-01,1099034381,,1099034467,hanging,0.992,-84,1775024669279560_259
1775024681370019_260,-84,0.992,100,2026-04-01 14:24:41,2026-04-01,1099034445,,1099034459,hanging,0.993,-83,1775024681370019_260
1775024765363459_277,-86,0.99,100,2026-04-01 14:26:05,2026-04-01,1099034833,,1099034849,hanging,0.991,-85,1775024765363459_277
1775025347408093_8,-89,0.987,100,2026-04-01 14:35:47,2026-04-01,1099038359,,1099039838,hanging,0.988,-88,1775025347408093_8
1775025404328557_11,-87,0.989,100,2026-04-01 14:36:44,2026-04-01,1099038850,,1099039241,hanging,0.99,-86,1775025404328557_11
1775025458390328_13,-88,0.988,100,2026-04-01 14:37:38,2026-04-01,1099039278,,1099039433,hanging,0.989,-87,1775025458390328_13
1775026358453956_1,-90,0.986,100,2026-04-01 14:52:38,2026-04-01,1099051406,,1099051675,hanging,0.987,-89,1775026358453956_1
