level_idx,level_px,qty,avg_cost,unrealized_pnl
-94,0.982000,100,0.982000,0.000000
-93,0.983000,100,0.983000,0.000000
-92,0.984000,100,0.984000,-0.000000
-91,0.985000,100,0.985000,0.000000
-90,0.986000,100,0.986000,0.000000
-89,0.987000,100,0.987000,0.000000
-88,0.988000,100,0.988000,0.000000
-87,0.989000,100,0.989000,-0.000000
-86,0.990000,100,0.990000,0.000000
-85,0.991000,100,0.991000,0.000000
-84,0.992000,100,0.992000,0.000000
-82,0.994000,100,0.994000,-0.000000
-80,0.996000,100,0.996000,0.000000
-79,0.997000,100,0.997000,0.000000
-77,0.999000,100,0.999000,-0.000000
-76,1.000000,100,1.000000,0.000000
-75,1.001000,100,1.001000,0.000000
-74,1.002000,100,1.002000,0.000000
-73,1.003000,100,1.003000,0.000000
-72,1.004000,100,1.004000,0.000000
-70,1.006000,100,1.006000,0.000000
-69,1.007000,100,1.007000,0.000000
-68,1.008000,100,1.008000,0.000000
-67,1.009000,100,1.009000,0.000000
-66,1.010000,100,1.010000,0.000000
-65,1.011000,100,1.011000,0.000000
-63,1.013000,100,1.013000,0.000000
-62,1.014000,100,1.014000,0.000000
-61,1.015000,100,1.015000,0.000000
-60,1.016000,100,1.016000,0.000000
-58,1.018000,100,1.018000,0.000000
-57,1.019000,100,1.019000,0.000000
-55,1.021000,100,1.021000,0.000000
-54,1.022000,100,1.022000,0.000000
-53,1.023000,100,1.023000,0.000000
-52,1.024000,100,1.024000,0.000000
-50,1.026000,100,1.026000,0.000000
-48,1.028000,100,1.028000,0.000000
-47,1.029000,100,1.029000,0.000000
-46,1.030000,100,1.030000,0.000000
-44,1.032000,100,1.032000,0.000000
-43,1.033000,100,1.033000,0.000000
-40,1.036000,100,1.036000,0.000000
-39,1.037000,100,1.037000,0.000000
