code1,code2,name1,name2,beta,score,half_life,p_value,correlation,data_points
510300.OF,510350.OF,华泰柏瑞沪深300ETF,工银沪深300ETF,1.0080,143.9081,7.3101,0.0000,0.9999,240
159937.OF,518860.OF,博时黄金ETF,建信上海金ETF,1.0020,143.2991,8.0411,0.0000,1.0000,240
159338.OF,563800.OF,国泰中证A500ETF,广发中证A500ETF,1.0020,142.8906,8.5313,0.0000,0.9999,232
159351.OF,159361.OF,嘉实中证A500ETF,易方达中证A500ETF,1.0029,142.8347,8.5984,0.0000,0.9997,231
159351.OF,159353.OF,嘉实中证A500ETF,景顺长城中证A500ETF,0.9854,142.1328,9.4406,0.0000,0.9998,240
159351.OF,560530.OF,嘉实中证A500ETF,摩根中证A500ETF,1.0007,141.6704,9.9955,0.0000,0.9998,240
159781.OF,159782.OF,易方达中证科创创业50ETF,银华中证科创创业50ETF,0.9871,141.6392,10.0330,0.0000,1.0000,240
159339.OF,159353.OF,银华中证A500ETF,景顺长城中证A500ETF,1.0029,141.5544,10.1347,0.0000,0.9999,240
159629.OF,159845.OF,富国中证1000ETF,华夏中证1000ETF,1.0036,141.3965,10.3242,0.0000,0.9999,240
159339.OF,159351.OF,银华中证A500ETF,嘉实中证A500ETF,1.0171,140.4720,11.4336,0.0000,0.9999,240
159339.OF,560530.OF,银华中证A500ETF,摩根中证A500ETF,1.0184,140.2317,11.7220,0.0000,0.9999,240
159339.OF,560530.OF,银华中证A500ETF,摩根中证A500ETF,1.0184,140.2317,11.7220,0.0000,0.9999,240
159339.OF,159361.OF,银华中证A500ETF,易方达中证A500ETF,1.0212,139.8645,12.1626,0.0000,0.9998,231
159812.OF,159937.OF,前海开源黄金ETF,博时黄金ETF,1.0009,139.4437,12.6675,0.0000,1.0000,240
159629.OF,560010.OF,富国中证1000ETF,广发中证1000ETF,1.0020,139.0989,13.0813,0.0000,0.9999,240
588030.OF,588220.OF,博时上证科创板100ETF,鹏华上证科创板100ETF,0.9923,139.0192,13.1765,0.0000,0.9999,240
